video,class,class_id,n_frames
./kinetics_subset/picking fruit/wRhfL1mezec_000028_000038,picking fruit,0,300
./kinetics_subset/sticking tongue out/MT2KvOC_7ww_000000_000010,sticking tongue out,1,300
./kinetics_subset/sticking tongue out/aHuhcGqaoBE_000000_000010,sticking tongue out,1,75
./kinetics_subset/diving cliff/2DwBhMUH-_I_000003_000013,diving cliff,2,249
./kinetics_subset/tying tie/b0_H_z-RZHw_000087_000097,tying tie,3,240
./kinetics_subset/tying tie/i1PcVAXtby0_000234_000244,tying tie,3,300
./kinetics_subset/water skiing/peMyj4GZCZU_000020_000030,water skiing,4,208
./kinetics_subset/water skiing/t6lEEnLkYSg_000003_000013,water skiing,4,300
./kinetics_subset/kicking soccer ball/YnE5rYYcmJg_000005_000015,kicking soccer ball,5,300
./kinetics_subset/sniffing/-1fippPF1oI_000002_000012,sniffing,6,150
./kinetics_subset/sniffing/BaIQY05Jh3k_000048_000058,sniffing,6,300
./kinetics_subset/extinguishing fire/luG4n49AdZo_000012_000022,extinguishing fire,7,300
./kinetics_subset/playing flute/ayoOPaX9lpM_000049_000059,playing flute,8,300
./kinetics_subset/playing flute/rk0O_Wkq-Dw_000028_000038,playing flute,8,270
./kinetics_subset/high kick/-toLFfiQnzc_000015_000025,high kick,9,300
./kinetics_subset/high kick/OlKFeMinFgs_000009_000019,high kick,9,300
./kinetics_subset/getting a tattoo/YobM3LpfnYo_000052_000062,getting a tattoo,10,300
./kinetics_subset/petting cat/nP0emhiehsw_000025_000035,petting cat,11,300
./kinetics_subset/petting cat/q1GijBRBqjE_000203_000213,petting cat,11,300
./kinetics_subset/smoking hookah/oWoJh5fsHQY_000021_000031,smoking hookah,12,84
./kinetics_subset/eating ice cream/0W-Enb4ARIw_000026_000036,eating ice cream,13,105
./kinetics_subset/eating ice cream/ivTBjENMTkY_000036_000046,eating ice cream,13,300
./kinetics_subset/arm wrestling/MD4RMynkcFQ_000002_000012,arm wrestling,14,165
./kinetics_subset/arm wrestling/e_Tk_m0nVc8_000021_000031,arm wrestling,14,300
./kinetics_subset/grooming dog/FDSUOhbkqIU_000060_000070,grooming dog,15,300
./kinetics_subset/shoveling snow/_UfTcxUZrsI_000123_000133,shoveling snow,16,240
./kinetics_subset/shoveling snow/Jm3c8QSzJyY_000120_000130,shoveling snow,16,300
./kinetics_subset/shooting goal (soccer)/-x9S0u1P6KY_000160_000170,shooting goal (soccer),17,300
./kinetics_subset/bobsledding/79eeiyTzfgk_000042_000052,bobsledding,18,300
./kinetics_subset/hopscotch/krXyuoD69Lc_000002_000012,hopscotch,19,118
./kinetics_subset/hopscotch/9gqpyYvwiio_000002_000012,hopscotch,19,300
./kinetics_subset/playing volleyball/SqnR1sq0iK0_000041_000051,playing volleyball,20,300
./kinetics_subset/playing paintball/2GjAbN2bdmc_000003_000013,playing paintball,21,300
./kinetics_subset/playing paintball/STVTpPAIXLc_000058_000068,playing paintball,21,300
./kinetics_subset/tossing salad/kJkSce1oXpo_000101_000111,tossing salad,22,250
./kinetics_subset/tossing salad/O92RRR6ykWI_000195_000205,tossing salad,22,150
./kinetics_subset/giving or receiving award/mtL96cCYMpk_000019_000029,giving or receiving award,23,250
